queries,responses,page_contents,sources
Could you explain the differences between the main types of insulin and how they work?,"Sure! There are four main types of insulin: rapid-acting, regular or short-acting, intermediate-acting, and long-acting.   Rapid-acting insulin starts to work within 15 minutes and lasts 1-2 hours. Regular or short-acting insulin starts to work within 30 minutes and lasts 3 to 4 hours. Intermediate-acting insulin starts to work within 1-2 hours, peaks at 4-6 hours, and lasts up to 12 hours. Long-acting insulin can work for an entire day, depending on the type.  Each type of insulin has a different onset of action and duration, allowing for better management of blood sugar levels throughout the day.","Types of insulin Rapid -acting •Starts to work within 15 minutes and lasts 1 -2  hours Regular - or short -acting •Starts to work within 30 min and lasts 3 to 4 hours Intermediate -acting •Starts to work within 1 -2 hours, maximally at 4 -6  hours and lasts up to 12 hours Long -acting •Can work for an entire day (depending on the type  of long -acting insulin) 42",data/01_raw/pdfs/#4 Be Proactive (updated 22Jan2024).pdf
What are some best practices for properly injecting insulin and rotating injection sites?,"To properly inject insulin and rotate injection sites, it is important to note that different sites absorb insulin at different rates. Insulin is absorbed the fastest in the abdomen and slowest in the thighs. It is recommended to rotate injection sites to avoid swelling, which may affect insulin absorption. You can rotate injection sites by moving 2 fingers' breadth along from your last injection site until you have used an entire area. It is also advised to move to a new injection area every 1 to 2 weeks. Suitable sites for insulin injection include the outer side of your upper arms, the upper and outer side of your thighs, the upper outer quadrant of your buttocks, and at least 2.5 cm (2 fingers' breadth) away from your belly button in any direction on your abdomen.","Insulin sites To note •Different sites absorb insulin at different rates. Insulin is  absorbed the fastest in the abdomen and slowest in the  thighs •Rotate sites (e.g., right and left thigh) to avoid swelling as this  may affect insulin absorptionSuitable sites for insulin injection Visual guide to show where you can inject insulinSite rotation Move 2 fingers along from your  last insulin injection site •Rotate injection sites by moving 2  fingers’ breadth along from your  last injection site until you have  used an entire area •Move to a new injection area  every 1 to 2 weeksArms The outer side of  your upper arms Thighs The upper and outer  side of your thighsButtocks   Upper outer  quadrant of  your buttocksAbdomen At least 2.5 cm (2 fingers' breadth)  away from your belly  button in any direction1 2 3 4 44",data/01_raw/pdfs/#4 Be Proactive (updated 22Jan2024).pdf
Why is good foot care so important for people with diabetes?,"Good foot care is crucial for people with diabetes because they are at a higher risk of developing foot complications. By regularly checking their feet for cuts, sores, and other issues, individuals can prevent serious problems such as infections and ulcers. Proper foot care, including wearing comfortable shoes and socks, can help reduce the risk of complications and ensure overall foot health.",". They are able to:• Identify and screen diabetic foot symptoms • Reduce the risk of foot complications by providing education on proper foot care and good glycaemic (blood sugar level) control• Refer patients who are at risk to podiatrists for early interventionDiabetic Foot Care Regular care of your feet should minimise the risk of incurring diabetic complications with them. This is what you should do to look after them:• Check your feet and toes every day for cuts, sores, corns or blisters. If you cannot see the soles of your feet, use a mirror or ask someone to help you.• See your doctor immediately if you hurt your feet or if your foot changes colour or looks different.• Choose shoes that are comfortable and fit well, and always wear socks/stockings to protect your feet. Never go barefoot.• Check the inside of your shoes before wearing them to ensure the lining is smooth and there are no sharp edges or objects inside",https://www.healthhub.sg/a-z/diseases-and-conditions/diabetic_foot_ttsh
What steps can I take to maintain good oral hygiene and dental health with diabetes?,"To maintain good oral hygiene and dental health with diabetes, you can follow these steps:  1. Brush your teeth and tongue at least twice a day for 2 minutes with fluoride toothpaste, using a soft-bristled toothbrush. Remember to change your toothbrush every 3 months or when the bristles spread out.  2. Tilt the brush at an angle to your gum line and move it in small circular motions across all front, back, and chewing surfaces of your teeth, including the back molars.  3. Clean in between your teeth with floss or an interdental brush at least once a day at a 45º angle.  4. Visit a dentist every 6 months to 1 year for regular check-ups. Inform your dentist about your blood sugar control and the medications you are taking.  5. If you wear dentures, clean them after every meal. Remove, clean, and soak dentures in water before sleeping.  Remember, maintaining good oral hygiene is essential for overall health, especially when managing diabetes. If you have any specific concerns or questions, it's best to consult with a healthcare professional or dentist for personalized advice.","Tilt the brush at an angle to your  gum line, moving it in small circular  motions across all front, back and  chewing surfaces of your teeth, not  forgetting the back molarsVisit a dentist every 6 months to  1 year to check your teeth; let the  dentist know about your blood  sugar control and the medication  you are takingBrush your teeth and tongue at  least twice a day (in the morning and  before sleeping) for 2 minutes with  fluoride toothpasteUse a soft -bristled toothbrush ;  change every 3 months or when  bristles spread outIf you wear dentures , clean them  after every meal; remove, clean and  soak dentures in water before  sleeping 54Keep your mouth healthy Clean  in between your teeth  with a floss or interdental brush  at least once a day 45º",data/01_raw/pdfs/#4 Be Proactive (updated 22Jan2024).pdf
What are some tips for managing diabetes while traveling whether for short or long trips?,"Some tips for managing diabetes while traveling, whether for short or long trips, include: - Always wear protective shoes - Hand carry medication or insulin items - Take medication as prescribed - Self-monitor your blood sugar level regularly - Know where to seek help  For short-haul flights or time zone differences of 1 to 2 hours, maintain your medication schedule and insulin dosage. For long-haul flights or time zone differences of more than 2 hours, discuss with your doctor regarding possible adjustments to your medication schedule and insulin dosage.  When preparing for travel, pack essential items in your carry-on bag such as a glucometer with test strips, finger-pricking device and lancets, medication or insulin items, medication for common illnesses, and sweets to prevent hypoglycemia (low blood sugar).",Drink plenty of water Watch your food and calorie intakeHand carry sugar -  containing sweets 59How can I manage my diabetes while abroad? Always wear protective shoes Hand carry medication   or insulin itemsTake  medication   as prescribedSelf-monitor your blood  sugar level regularlyKnow where to seek help,data/01_raw/pdfs/#4 Be Proactive (updated 22Jan2024).pdf
What are some general tips for healthy eating when you have diabetes?,"Some general tips for healthy eating when you have diabetes include eating well to help with diabetes control, managing weight, blood pressure, cholesterol levels, and overall health. It is recommended to make healthy food choices, have a balanced diet, eat in moderation during festivals and celebrations, avoid alcohol as much as possible, maintain your medication schedule and insulin dosage, plan meals ahead, opt for healthier products, and use healthier cooking methods. For personalized nutritional advice, it is best to consult a healthcare professional such as a dietitian.","Healthy Eating When You Have Diabetes Diet is an important part of diabetes management. Eating well not only helps with your diabetes  control, but also with weight, blood pressure, cholesterol levels and general health. Healthy eating is recommended for everyone, including individuals with diabetes. All individuals can enjoy the same healthy meals. Read on for a general guide on how you can make healthy food choices and have a balanced diet.  For nutritional advice personalised to your condition and needs,  do speak to a healthcare professional such as a dietitian. 2",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
How can I make sure I'm getting a balanced diet with the right portions from each food group?,"To ensure you're getting a balanced diet with the right portions from each food group, you can use the My Healthy Plate visual guide. Aim to fill ¼ of your plate with whole grains, another ¼ with good sources of protein, and the remaining ½ with fruits and vegetables. Additionally, choose water as your drink of choice, opt for healthier oils low in saturated fats, and stay physically active. This way, you can maintain a well-rounded and nutritious diet.",What should I eat? My Healthy Plate is a visual guide you can  use to help you make healthy food choices.  A balanced meal consists of: •¼ plate of wholegrains •¼ plate of good sources of protein •½ plate of fruit and vegetables We should also be mindful to: •Choose water as your drink of choice •Choose healthier oils which are lower in  saturated fats •Keep physically active 5,data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What are some good sources of protein for people with diabetes?,"Good sources of protein for people with diabetes include animal-based protein such as eggs, fish, chicken, and dairy products like milk and yogurt. Plant-based protein options include soy milk, tofu, nuts, beans, and legumes. It is recommended to choose lean over fatty meat, fresh over processed meat, and have a mix of animal-based and plant-based protein in your diet. Aim for 2 to 3 servings of protein daily to maintain a balanced diet.","Food provides us with nutrients that we need for energy and for our body functions to keep us healthy.Healthy Eating When You Have Diabetes Of these, carbohydrates have the  greatest impact on blood sugar. While protein and fat may not have a direct  impact on blood sugar levels, eating too  much protein and fat can lead to weight gain which will increase insulin resistance  and make diabetes control more difficult. The type and amount of fat consumed  is important. Mono -and poly - unsaturated fats are better for you. We  should limit our intake of saturated and  trans fats (e.g., found in fried chicken and  baked products) to reduce our risk of  cardiovascular disease.•Macronutrients that our body needs in larger amounts for energy. There are 3  main types: carbohydrates, protein and  fat. There is no one food that  contains all the nutrients that  we need. Instead, it is important  that we eat a variety of foods in  the right portions every day as  part of a balanced diet",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
"How do different types of carbohydrates (sugars, starches, fiber) affect blood sugar levels?","Different types of carbohydrates affect blood sugar levels differently. Sugars, which are simple carbohydrates, are easy to digest and can raise blood sugar levels quickly. Starches, which are complex carbohydrates made up of sugars linked together, are digested into sugar at varying speeds depending on how processed they are and how much fiber the food item contains. Fiber, which is part of complex carbohydrates and cannot be digested by the body, helps with sugar control by slowing down the passage of food through the digestive system and making you feel full.",There are 3 types of carbohydrates: Sugars are simple carbohydrates  that are easy to digest. They raise  blood sugar levels quickly.Starches are complex carbohydrates  that are made up of sugars linked  together. The speed at which starches  are digested by the body into sugar  depend on how processed they are and  how much fibre the food item contains.Fibre is the part of complex  carbohydrates that cannot be  digested by the body. It makes you  feel full and helps with sugar control  by slowing down the passage of  food through the digestive system. 12Types of carbohydrates,data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What is the glycemic index and how can it help me choose foods?,"The Glycaemic Index (GI) measures how fast your food or drink can cause blood sugar levels to rise. It ranks carbohydrates from 0 to 100 based on this impact. Foods with a lower GI lead to a slower increase in blood sugar over time, reducing spikes in insulin response and helping you feel full longer. Choosing foods lower in GI can be beneficial for managing blood sugar levels and overall health.","What is the Glycaemic Index (GI)? GI measures how fast your food or drink can cause blood sugar levels to rise. It ranks carbohydrates from  0 to 100, according to this impact. The higher the GI, the faster blood sugar levels are expected to rise. Eating foods lower in GI brings about a slower increase in blood sugar over time ,and reduces the spike  in the body’s insulin hormone response. This also helps the individual feel full longer. 17",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What factors influence the glycemic index of a food or meal?,"The factors that influence the glycemic index of a food or meal include the type of carbohydrates present, the amount of fiber, the level of processing, the cooking method used, and the presence of fats and proteins. Additionally, the ripeness of fruits and vegetables can also impact the glycemic index.","What is the Glycaemic Index (GI)? GI measures how fast your food or drink can cause blood sugar levels to rise. It ranks carbohydrates from  0 to 100, according to this impact. The higher the GI, the faster blood sugar levels are expected to rise. Eating foods lower in GI brings about a slower increase in blood sugar over time ,and reduces the spike  in the body’s insulin hormone response. This also helps the individual feel full longer. 17",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What are some practical tips for healthier cooking methods and ingredients?,"Some practical tips for healthier cooking methods include steaming, baking, boiling, and grilling. When it comes to ingredients, you can opt for healthier choices such as whole grains like brown rice, lean meats with visible fat removed, and using natural seasonings like herbs and spices instead of salt. It's also important to incorporate plenty of vegetables as the main dish in your meals.","You can whip up delicious and healthy meals even if you have  diabetes. Some tips on how you can do this: •Use healthier cooking methods (e.g., steaming, baking, boiling, grilling). •Use healthier ingredients •Plan meals that incorporate vegetables as the main dish  (together with fruits, they should make up 50% of your plate),  rather than meat or carbohydrates as part of a balanced diet.Choose wholegrains instead of refined grains. For example, replace white  rice with brown rice Choose lean meat and remove all visible fat before cooking Reduce salt, instead use natural seasoning (e.g., herbs and spices) Use condiments and sauces in moderation Healthy recipes you can try .  23Healthier cooking",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
How can I make healthier choices when eating out or at social gatherings?,"To make healthier choices when eating out, you can plan ahead by looking for food outlets that offer healthier options, read the menu carefully to choose dishes that are prepared in healthier ways, and eat just enough without overeating. When facing peer pressure at social gatherings, it's important to communicate your boundaries politely and confidently. You can politely decline offers of unhealthy food and stick to your healthy eating plan. Remember, it's okay to prioritize your health and well-being in social situations.","Eating out Some tips on how you can make healthier food choices when  eating out: •Plan ahead –look out for food outlets that are part of the Healthier Dining  Programme. These outlets have healthier dishes which are lower in calories ,  prepared with wholegrains or healthier oil, or lower in sugar. Ordering food  when you are very hungry can cause you to order more than you intended to, and overeat. Look at the menu before arriving to better plan your meal. •Read the menu with care –look for menu wordings to check how food is  prepared. For example, foods that are described as 'steamed', 'boiled',  'baked' or 'poached' are healthier than foods that are 'fried in oil'. Avoid  foods that are also 'rich' and 'creamy' which tend to be high in fat. •Eat just enough –it is okay to not eat everything on your plate. Aim to eat  until you are 80% full. To prevent food wastage, request to take away  anyremaining food to eat later",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What are some tips for reading and understanding nutrition labels?,"Some tips for reading and understanding nutrition labels include paying attention to the ingredients list, serving size, calorie content, and carbohydrate content. Remember that ""sugar-free"" does not mean carbohydrate-free, as starch also contributes to carbohydrate content. Additionally, ""no sugar added"" does not necessarily mean no carbohydrates, as the food item may contain naturally occurring sugars or other carbohydrates like starches. It's important to be aware that fat-free products can still have carbohydrates that contribute to caloric intake.","How to read food labels Things to pay attention to: •Ingredients list –for example, sugar might  be referred by another name such as sucrose •Serving size –the food item may contain  more than one serving size •Calorie (or energy) content •Carbohydrate content ""Sugar -free"" does not mean carbohydrate- free  –starch also contributes to carbohydrate  content ""No sugar added"" does not mean no carbohydrates.  The food item may contain naturally occurring sugars  (e.g., fruit juices) or other carbohydrates such as  starches Fat-free products can still have carbohydrates which  contribute to caloric intake 38",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
How can I set up my kitchen environment to support healthier eating habits?,"To set up your kitchen environment to support healthier eating habits, you can follow these tips:  1. Avoid placing unhealthy snacks on your kitchen counter. Replace them with healthier alternatives like fruits and whole grain bread. 2. Ensure fresh produce is at eye level for easier access. 3. Create a shopping list to keep yourself in check and avoid temptations. 4. Use smaller plates and bowls to control portion sizes and reduce calorie intake. 5. Shop around the perimeter of the supermarket to avoid the snack aisles located in the middle aisles. 6. Avoid shopping when hungry to prevent unhealthy decisions or bingeing.  By implementing these strategies, you can create a supportive environment that encourages healthier eating habits.","'De-junk' your kitchen 1.Avoid placing unhealthy snacks on  your kitchen counter .Replace with  healthier alternatives -fruits, wholegrain  bread etc. 2.Ensure fresh produce is at eye level for  easier access 3.Create a shopping list -keeps you in  check to avoid any temptations 4.Use smaller plates and bowls -helps  control portion to reduce calorie intake 5.Shop around supermarket perimeters to avoid shopping in the snack aisles (these tend to be located in the middle aisles) 6.Avoid shopping when hungry – your  cravings could lead to unhealthy decisions or bingeing Source 41",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What are the pros and cons of different sugar substitutes for people with diabetes?,"For people with diabetes, the pros of using sugar substitutes include not contributing to calories and being able to sweeten foods without affecting blood sugar levels. The cons may include potential side effects from artificial intense sweeteners like aspartame and sucralose, and the need to use them in small amounts and as part of a meal to avoid any negative impacts on health. Natural intense sweeteners like stevia and monk fruit may be a better option for some individuals.","Sugar substitutes (2 of 2) 2.Non -Nutritive Sweeteners •These do not contribute to calories •Artificial Intense -produced in the laboratory,  and includes aspartame and sucralose •Natural Intense -found in nature, and  includes stevia and monk fruit While sugar substitutes are not actually needed to  help manage diabetes, they can be used to  sweeten foods, as long as they are used in small  amounts and generally eaten as part of a meal. 43",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What are some general recommendations for physical activity if you have diabetes?,"Some general recommendations for physical activity if you have diabetes include considering your type of diabetes, pre-exercise glucose level, medication and timing, recent food intake, and general health condition. It is important to start slow, take breaks in between, and progress gradually. Monitoring your energy and fatigue levels during and after exercise is also crucial to ensure you do not feel excessively fatigued. It is essential to consult with healthcare professionals for personalized advice and guidance.","Exercise is important for your general health and  well- being. If you have diabetes, you can still  exercise if you take some precautions, depending on your: •Type of diabetes •Pre-exercise glucose level •Medication and timing •Recent food intake •General health conditionExercise for those with Diabetes 47",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
How can I safely incorporate exercise into my routine if I have diabetes?,"To safely incorporate exercise into your routine if you have diabetes, it is important to start slow if you have not been physically active. Make sure to wear comfortable clothing and appropriate footwear, such as well-fitted shoes with adequate support. Check your feet for wounds before and after exercising. Exercise at a cooler time, like mornings or evenings, or in a cooler environment. Bring along healthy snacks or sugar-containing sweets in case of hypoglycemia (low blood sugar) and stay hydrated. It's also beneficial to exercise with family and friends for added support.","Exercise is important for your general health and  well- being. If you have diabetes, you can still  exercise if you take some precautions, depending on your: •Type of diabetes •Pre-exercise glucose level •Medication and timing •Recent food intake •General health conditionExercise for those with Diabetes 47",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What precautions should I take when exercising with diabetes?,"When exercising with diabetes, it is important to consider your type of diabetes, pre-exercise glucose level, medication and timing, recent food intake, and general health condition. It is recommended to not skip meals, bring sugar-containing sweets when going out, and eat extra carbohydrates before moderate or vigorous intensity activities if needed. If you experience hypoglycemia frequently, it is advisable to consult with your doctor as your medication may need adjusting.","Exercise is important for your general health and  well- being. If you have diabetes, you can still  exercise if you take some precautions, depending on your: •Type of diabetes •Pre-exercise glucose level •Medication and timing •Recent food intake •General health conditionExercise for those with Diabetes 47",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
How can I monitor my intensity and exertion levels during exercise?,"You can monitor your intensity and exertion levels during exercise by using a heart rate monitor, getting a recommendation from your health care team, or using an exertion scale like the Rating of Perceived Exertion (RPE) or talk test. It's important to start at a moderate intensity, especially if you have a less active lifestyle, and adjust as needed based on your own comfort and fitness level.","Monitoring your intensity (Exertion) •Exercise at moderate intensity. •If you have a less active lifestyle, start off with a  lower intensity. •Monitor the intensity of your activity with: A heart rate monitor  Get a recommendation  from your health care teamAn exertion scale  Rating of Perceived Exertion  (RPE) or talk test 81",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What should I do if I experience hypoglycemia (low blood sugar) during or after exercise?,"If you experience hypoglycemia during or after exercise, you should follow the 15/15 rule to treat it. Consume 15 grams of fast-acting sugars such as dextrose powder, soft drinks, fruit juice, or soft/jelly sweets. Check your blood sugar level after 15 minutes and monitor it closely. If your blood sugar is still low, seek medical attention. It's important to not exercise if your blood sugar level is below 4.0 mmol/L. Remember to always be prepared by bringing sugar-containing sweets with you when you exercise.","HYPOGLYCAEMIA Feel unwell​ Had a hypoglycaemic episode in  the last 24 hours that required  someone's assistance. Are exercising alone or engaging  in a potentially unsafe exercise.​ 15g of fast -acting sugars  (carbs) example: •3 teaspoons of dextrose powder/table sugar in  120ml of water •½ can of regular soft drink  •1 can of low -sugar soft drink •½ glass (150ml) of fruit juice •3 soft/jelly sweets Check your blood sugar  level after 15 minutesMonitor your blood sugar before exercising For individuals with Type 2 Diabetes  #For individuals with Type 1 diabetes, please seek advice from your health provider •Delay your exercise •Follow the 15/15 rule to treat  hypoglycemia •Do not exercise if you:​ 60mmol/L< 4.0 mmol/L mmol/L mmol/L4.0 –5.5 5.6 –15.0 > 15.0",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
Are there any special considerations for exercising with foot ulcers or lower limb pain?,"Yes, there are special considerations for exercising with foot ulcers or lower limb pain. It is important to be cautious and consult with your healthcare provider before starting any exercise routine. For individuals with foot ulcers, it is recommended to avoid prolonged exercise and to monitor signs and symptoms closely. Additionally, it is important to keep toenails trimmed, wear appropriate shoes and socks, and avoid walking barefoot to prevent injuries. If you experience signs and symptoms of hypoglycemia while exercising and are on certain medications like insulin, sulphonylurea, or meglitinides, it is important to consult your doctor for a medication review.",Exercise Recommendations:  For individuals  with foot ulcer and  lower limb pain 68,data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
How can I modify exercises if I have obesity and diabetes?,"You can modify exercises if you have obesity and diabetes by focusing on non-weight bearing exercises. This includes aerobic, resistance, and flexibility exercises that can be done without putting too much pressure on your feet. It's important to aim for regular physical activity while avoiding long periods of inactivity. Remember to consult with your healthcare provider for personalized advice on exercise modifications based on your specific health condition.","Exercise is important for your general health and  well- being. If you have diabetes, you can still  exercise if you take some precautions, depending on your: •Type of diabetes •Pre-exercise glucose level •Medication and timing •Recent food intake •General health conditionExercise for those with Diabetes 47",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What are some tips for exercising safely if I have coronary heart disease?,"To exercise safely if you have coronary heart disease, it is important to start slow if you have not been physically active. Make sure to wear comfortable clothing and appropriate footwear with adequate support. Check your feet for wounds before and after exercising. It is recommended to exercise at a cooler time, such as mornings or evenings, or in a cooler environment. Additionally, bring along healthy snacks or sugar-containing sweets in case of hypoglycemia (low blood sugar) and stay hydrated. Lastly, consider exercising with family and friends for added support and motivation.","How can I exercise safely? Start slow if you have not  been physically activeWear comfortable  clothing and appropriate  footwear (well-fitted shoes  with adequate support)Check your feet for  wounds before and  after exercisingExercise at a cooler  time (mornings or  evenings, or in a  cooler environment) Bring along healthy snacks or  sugar -containing sweets, in case of  hypoglycaemia (low blood sugar)Keep hydrated Exercise with family  and friends 51",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
How can I avoid or manage withdrawal symptoms when quitting smoking?,"To avoid or manage withdrawal symptoms when quitting smoking, you can try the following tips:  1. Join the ""I Quit 28-Day Countdown"" program for support. 2. Distract yourself by doing something else when cravings arise. 3. Do light exercises like brisk walking to lift your mood. 4. Take small, regular meals to help manage irritability. 5. Inform your family and friends about potential irritability so they can support you.  Remember, quitting smoking is a challenging but rewarding journey. Seek support from healthcare professionals if needed.","Dostretching exercises Join the I Quit 28- Day CountdownQuit smoking!  Managing common withdrawal symptoms Warn family and friends  of potential irritabilityDistract yourself  by doing something elseDo light exercises like brisk  walking to lift your moodSmoking increases insulin resistance, risk of diabetes and its complications Take small, regular meals 85",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What are some effective strategies for managing stress when living with diabetes?,"Some effective strategies for managing stress when living with diabetes include engaging in physical activity that is fun and rewarding, adjusting to your environment by arranging convenient exercise times and locations, making a concrete plan for regular exercise, finding company for activities, addressing self-defeating thoughts, seeking positive social support from caregivers, family, and friends, being a good listener, learning about low blood sugar, doing activities together, and helping to ease stress.","Overcoming Stressors in Diabetes  Management: Enhancing Moods with Exercise (cont'd)​ Engage in physical activity  101•Identify activities that are fun, enjoyable and rewarding.  •Adjust to your environment; arrange an activity and exercise at a time and location you find convenient.  •Make a concrete plan for regular exercise you want to do, think you can do and are willing to do. •Find company for the activity or exercise you want to do. ​ •Identify and address self -defeating thoughts by asking  yourself what evidence you have or how true it is, e.g., that you are too old or too overweight to exercise. ​",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
How can I use problem-solving techniques to overcome challenges in my diabetes management?,"To use problem-solving techniques to overcome challenges in your diabetes management, you can follow these 4 steps:  1. First, select steps even if there is no ideal solution. This means making a decision and taking action, even if it's not perfect. 2. Second, take a difficult task and break it into manageable steps. By breaking down the problem into smaller parts, it becomes easier to tackle. 3. Problem-solving helps you feel more motivated when the task is broken down into easier steps. 4. Be aware of your options for managing diabetes, such as considering medications like DPP-4 inhibitors or GLP-1 RAs, or focusing on weight management with SGLT2 inhibitors.  Remember to adopt a patient-centered approach when discussing your diabetes management with healthcare professionals. Engage in a tailored discussion about your condition, its impact on your health, and your management goals. Ask questions, seek understanding, and work together to find the best solutions for your diabetes care.","Problem Solving: 4 steps for better diabetes management •Problem solving helps people to cope with stressful or  overwhelming situations, and when no solution seems workable or it is difficult to get started.​ •Helps you feel more motivated when the task is broken down into easier steps.​ •First, select steps even if there is no ideal solution.​ •Second, take a difficult task and break it into manageable steps.​ •Let’s look at how we can use this technique in 4 steps. 102",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What are some ways to improve my relationships and communication with loved ones who care about my diabetes?,"To improve your relationships and communication with loved ones who care about your diabetes, it's important to be a good listener. Avoid making judgmental statements and focus on what they are saying. Ask them questions like ""Would you like to share with me what the hardest part of managing your diabetes is?"" or ""What can I do to help?"" Offering support and understanding can help them feel valued and motivated to make positive changes. Connecting with healthcare professionals who support you in diabetes management can also give you more confidence in managing your diabetes.","IMPROVING MY RELATIONSHIP WITH  OTHERS WHO CARE ABOUT ME Positive relationships with your doctor, nurse and any healthcare  professional who support you in diabetes management give you more  confidence to better manage diabetes.​ Connecting and seeking support from people in your life, like family, friends,  co-workers help you to feel better understood, valued and boost your  motivation to make positive changes. 106",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
How can I deal with stigma or negative attitudes towards individuals with diabetes?,"To deal with stigma or negative attitudes towards individuals with diabetes, it is important to educate yourself on the many causes of diabetes and connect with people who share your experiences to help overcome self-blame. Additionally, speaking up when you see stigmatizing behavior or statements being made and sharing accurate information about diabetes can help open up a conversation with others. Being an ally to individuals with diabetes is key in combating stigma.","•Be kind to yourself . Never blame yourself. You  may mistakenly believe you are responsible for  your condition, but internalised stigma can be just as harmful to your health as stigma from others. Educate yourself on the many causes of diabetes and connect with people who share your experiences to help you overcome self-blame.​ •Speak up if you see stigmatising behaviour or  statements being made, and try to open up a conversation with others by sharing accurate information about diabetes. Being an ally to individuals with diabetes is key.​ 110WAYS TO MANAGE STIGMATISATION",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
How does lack of sleep or poor sleep quality affect someone with diabetes?,"Lack of sleep or poor sleep quality can have negative effects on individuals with diabetes. It can lead to poor attention, concentration, memory, impaired judgment, and reaction time. Additionally, it can cause irritability, mood disturbances, difficulty managing intense emotions, fatigue, weakened immunity, high blood pressure, and weight gain. It is important for individuals with diabetes to prioritize good sleep habits to help manage their condition effectively.","How diabetes can affect sleep •Diabetes and pre -diabetes has been linked to problems sleeping well. •Effects of lack of sleep or poor sleep quality include and are not limited to: Mental abilities: Poor attention, concentration and memory,  impaired judgment, and reaction time 114Emotional state: Irritability and other mood disturbances,  difficulty managing intense emotions Physical state: Fatigue, weakened immunity,  high blood pressure, weight gain",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What precautions should I take to avoid dangerous nighttime low blood sugar (nocturnal hypoglycemia)?,"To avoid dangerous nighttime low blood sugar or nocturnal hypoglycemia, you should take the following precautions:  1. Test your blood sugar levels before bed. 2. Avoid skipping meals, including dinner. 3. Avoid physical activity at night. 4. Look out for warning signs such as restlessness, irritability, hot, clammy or sweaty skin, trembling or shaking, changes in breathing, nightmares, and racing heartbeat. 5. Consult your doctor about any concerns regarding nocturnal hypoglycemia.","Dangers of nocturnal hypoglycaemia! When blood sugar falls below 4.0 mmol/L while sleeping at night, the person experiences  nocturnal hypoglycaemia or “night -time hypo”. This can be dangerous and cause sudden death. Some ways to avoid it: Test your blood  sugar levels  before bed.Avoid skipping  meals, including  dinner.Avoid physical  activity at night.Look out for warning signs:  Restlessness and irritability,  hot, clammy or sweaty skin,  trembling or shaking, changes  in breathing, nightmares, and  racing heartbeat.Consult your  doctor about  nocturnal  hypoglycaemia. 116",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What are some common sleep disorders associated with diabetes that I should be aware of?,"Common sleep disorders associated with diabetes that you should be aware of include obstructive sleep apnoea and restless leg syndrome. It's important to talk to your doctor about any sleep issues you may be experiencing, as they can recommend appropriate treatments or conduct a sleep study to determine if a sleep disorder is contributing to your sleep problems.",".Talk to your doctor about sleep issues.  Based on your personal situation, your doctor may be able to recommend sleep aids or additional ways to get better sleep. They may even conduct a sleep study, to  see if a sleep disorder is a potential contributor to your sleep problems. Common sleep disorders in diabetes: •Obstructive sleep apnoea •Restless leg syndrome",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
